ID;year;lake;sp;temp;connec;turb;sex;goby;temp2;conn2
KAR02_G56_L1;2020;kar02;sp1;low;low;4.50;male;G56;31.5;0.26
KAR02_G57_L1;2020;kar02;sp1;low;low;4.50;nd;G57;31.5;0.26
KAR02_G58_L1;2020;kar02;sp1;low;low;4.50;nd;G58;31.5;0.26
KAR02_G79_L1;2020;kar02;sp1;low;low;4.50;male;G79;31.5;0.26
MIS01_G1_L1;2020;mis01;sp1;low;medium;5.25;nd;G1;31.7;0.8
MIS01_G2_L1;2020;mis01;sp1;low;medium;5.25;female;G2;31.7;0.8
MIS01_G3_L1;2020;mis01;sp1;low;medium;5.25;female;G3;31.7;0.8
MIS01_G4_L1;2020;mis01;sp1;low;medium;5.25;female;G4;31.7;0.8
MIS01_G5_L1;2020;mis01;sp1;low;medium;5.25;male;G5;31.7;0.8
MIS01_G6_L1;2020;mis01;sp1;low;medium;5.25;male;G6;31.7;0.8
MIS01_G7_L1;2020;mis01;sp1;low;medium;5.25;male;G7 ;31.7;0.8
MIS01_G8_L1;2020;mis01;sp1;low;medium;5.25;male;G8;31.7;0.8
MIS14_G36_L1;2020;mis14;nd;high;low;7.50;male;G36;35.6;0.2
MIS14_G37_L1;2020;mis14;sp2;high;low;7.50;male;G37;35.6;0.2
MIS14_G38_L1;2020;mis14;sp2;high;low;7.50;male;G38;35.6;0.2
MIS14_G39_L1;2020;mis14;nd;high;low;7.50;male;G39;35.6;0.2
MIS14_G40_L1;2020;mis14;sp2;high;low;7.50;female;G40;35.6;0.2
MIS14_G41_L1;2020;mis14;sp2;high;low;7.50;male;G41;35.6;0.2
MIS14_G42_L1;2020;mis14;nd;high;low;7.50;male;G42;35.6;0.2
MIS14_G43_L1;2020;mis14;nd;high;low;7.50;male;G43;35.6;0.2
MIS14_G44_L1;2020;mis14;nd;high;low;7.50;male;G44;35.6;0.2
MIS14_G45_L1;2020;mis14;nd;high;low;7.50;male;G45;35.6;0.2
MIS14_G46_L1;2020;mis14;sp2;high;low;7.50;male;G46;35.6;0.2
MIS14_G47_L1;2020;mis14;sp2;high;low;7.50;male;G47;35.6;0.2
MIS14_G48_L1;2020;mis14;sp2;high;low;7.50;male;G48;35.6;0.2
MIS14_G49_L1;2020;mis14;sp2;high;low;7.50;male;G49;35.6;0.2
MIS14_G50_L1;2020;mis14;sp2;high;low;7.50;male;G50;35.6;0.2
MIS14_G52_L1;2020;mis14;sp2;high;low;7.50;male;G52;35.6;0.2
MIS14_G53_L1;2020;mis14;sp2;high;low;7.50;male;G53;35.6;0.2
MIS14_G54_L1;2020;mis14;sp2;high;low;7.50;male;G54;35.6;0.2
MIS14_G55_L1;2020;mis14;sp2;high;low;7.50;male;G55;35.6;0.2
MIS17_G11_L1;2020;mis17;sp1;medium;low;4.83;male;G11;33.6;0.23
MIS17_G12_L1;2020;mis17;sp1;medium;low;4.83;female;G12;33.6;0.23
MIS17_G13_L1;2020;mis17;sp1;medium;low;4.83;female;G13;33.6;0.23
MIS17_G34_L1;2020;mis17;sp1;medium;low;4.83;male;G34;33.6;0.23
MIS17_G35_L1;2020;mis17;sp1;medium;low;4.83;male;G35;33.6;0.23
MIS20_G14_L1;2020;mis20;sp1;medium;medium;6.13;male;G14;32.6;0.51
MIS20_G15_L1;2020;mis20;sp1;medium;medium;6.13;male;G15;32.6;0.51
MIS20_G16_L1;2020;mis20;sp1;medium;medium;6.13;male;G16;32.6;0.51
MIS20_G17_L1;2020;mis20;sp1;medium;medium;6.13;male;G17;32.6;0.51
MIS20_G18_L1;2020;mis20;sp1;medium;medium;6.13;male;G18;32.6;0.51
MIS20_G19_L1;2020;mis20;sp1;medium;medium;6.13;female;G19;32.6;0.51
MIS20_G20_L1;2020;mis20;sp1;medium;medium;6.13;male;G20;32.6;0.51
MIS20_G21_L1;2020;mis20;sp1;medium;medium;6.13;male;G21;32.6;0.51
MIS20_G22_L1;2020;mis20;sp1;medium;medium;6.13;male;G22;32.6;0.51
MIS20_G23_L1;2020;mis20;sp1;medium;medium;6.13;male;G23;32.6;0.51
MIS20_G24_L1;2020;mis20;sp1;medium;medium;6.13;male;G24;32.6;0.51
MIS20_G25_L1;2020;mis20;sp1;medium;medium;6.13;male;G25;32.6;0.51
MIS20_G26_L1;2020;mis20;sp1;medium;medium;6.13;male;G26;32.6;0.51
MIS20_G27_L1;2020;mis20;sp1;medium;medium;6.13;male;G27;32.6;0.51
MIS20_G28_L1;2020;mis20;sp1;medium;medium;6.13;male;G28;32.6;0.51
MIS20_G29_L1;2020;mis20;sp1;medium;medium;6.13;male;G29;32.6;0.51
MIS20_G30_L1;2020;mis20;sp1;medium;medium;6.13;female;G30;32.6;0.51
MIS20_G31_L1;2020;mis20;sp1;medium;medium;6.13;female;G31;32.6;0.51
MIS20_G32_L1;2020;mis20;sp1;medium;medium;6.13;female;G32;32.6;0.51
MIS20_G33_L1;2020;mis20;sp1;medium;medium;6.13;male;G33;32.6;0.51
MIS31_G80_L1;2020;mis31;sp2;medium;medium;10.5;nd;G80;31.9;0.78
MIS31_G81_L1;2020;mis31;sp2;medium;medium;10.5;nd;G81;31.9;0.78
MIS31_G82_L1;2020;mis31;sp2;medium;medium;10.5;female;G82;31.9;0.78
MIS31_G83_L1;2020;mis31;sp2;medium;medium;10.5;female;G83;31.9;0.78
MIS31_G84_L1;2020;mis31;sp2;medium;medium;10.5;male;G84;31.9;0.78
MIS31_G85_L1;2020;mis31;sp2;medium;medium;10.5;female;G85;31.9;0.78
MIS31_G86_L1;2020;mis31;sp2;medium;medium;10.5;female;G86;31.9;0.78
MIS31_G87_L1;2020;mis31;sp2;medium;medium;10.5;female;G87;31.9;0.78
MIS31_G88_L1;2020;mis31;sp2;medium;medium;10.5;female;G88;31.9;0.78
MIS31_G89_L1;2020;mis31;sp2;medium;medium;10.5;nd;G89;31.9;0.78
WAR03_G59_L1;2020;war03;sp1;high;low;5.40;nd;G59;35.9;0.11
WAR03_G60_L1;2020;war03;sp1;high;low;5.40;male;G60;35.9;0.11
WAR03_G61_L1;2020;war03;sp1;high;low;5.40;male;G61;35.9;0.11
WAR03_G62_L1;2020;war03;sp1;high;low;5.40;male;G62;35.9;0.11
WAR03_G63_L1;2020;war03;sp1;high;low;5.40;male;G63;35.9;0.11
WAR03_G64_L1;2020;war03;sp1;high;low;5.40;male;G64;35.9;0.11
WAR03_G65_L1;2020;war03;sp1;high;low;5.40;male;G65;35.9;0.11
WAR03_G66_L1;2020;war03;sp1;high;low;5.40;male;G66;35.9;0.11
WAR03_G67_L1;2020;war03;sp1;high;low;5.40;female;G67;35.9;0.11
WAR03_G68_L1;2020;war03;sp1;high;low;5.40;female;G68;35.9;0.11
WAR03_G69_L1;2020;war03;sp2;high;low;5.40;nd;G69;35.9;0.11
WAR03_G70_L1;2020;war03;sp2;high;low;5.40;nd;G70;35.9;0.11
WAR03_G71_L1;2020;war03;sp2;high;low;5.40;nd;G71;35.9;0.11
WAR03_G72_L1;2020;war03;sp2;high;low;5.40;nd;G72;35.9;0.11
WAR03_G73_L1;2020;war03;sp2;high;low;5.40;nd;G73;35.9;0.11
WAR03_G74_L1;2020;war03;sp2;high;low;5.40;nd;G74;35.9;0.11
WAR03_G76_L1;2020;war03;sp2;high;low;5.40;nd;G76;35.9;0.11
WAR03_G77_L1;2020;war03;sp2;high;low;5.40;nd;G77;35.9;0.11
WAR03_G78_L1;2020;war03;sp2;high;low;5.40;nd;G78;35.9;0.11
WAR04_G100_L1;2020;war04;sp2;high;low;7.50;nd;G100;35.6;0.06
WAR04_G90_L1;2020;war04;sp2;high;low;7.50;nd;G90;35.6;0.06
WAR04_G91_L1;2020;war04;sp2;high;low;7.50;male;G91;35.6;0.06
WAR04_G92_L1;2020;war04;sp2;high;low;7.50;male;G92;35.6;0.06
WAR04_G93_L1;2020;war04;sp2;high;low;7.50;male;G93;35.6;0.06
WAR04_G94_L1;2020;war04;sp2;high;low;7.50;nd;G94;35.6;0.06
WAR04_G95_L1;2020;war04;sp2;high;low;7.50;male;G95;35.6;0.06
WAR04_G96_L1;2020;war04;sp2;high;low;7.50;nd;G96;35.6;0.06
WAR04_G98_L1;2020;war04;sp2;high;low;7.50;male;G98;35.6;0.06
WAR04_G99_L1;2020;war04;sp2;high;low;7.50;male;G99;35.6;0.06
MIS31_G1_L1;2016;mis31;sp2;medium;medium;10.5;male;G1;31.9;0.78
MIS31_G2_L1;2016;mis31;sp1;medium;medium;10.5;female;G2;31.9;0.78
MIS31_G3_L1;2016;mis31;sp1;medium;medium;10.5;female;G3;31.9;0.78
MIS31_G4_L1;2016;mis31;sp1;medium;medium;10.5;female;G4;31.9;0.78
MIS31_G5_L1;2016;mis31;sp1;medium;medium;10.5;nd;G5;31.9;0.78
MIS31_G6_L1;2016;mis31;nd;medium;medium;10.5;female;G6;31.9;0.78
MIS31_G7_L1;2016;mis31;sp2;medium;medium;10.5;female;G7;31.9;0.78
RAJ04_G1_L1;2016;raj04;sp2;medium;low;;male;G1;32.3;0.07
RAJ04_G10_L1;2016;raj04;sp2;medium;low;;nd;G10 ;32.3;0.07
RAJ04_G2_L1;2016;raj04;sp2;medium;low;;male;G2;32.3;0.07
RAJ04_G4_L1;2016;raj04;sp2;medium;low;;male;G4;32.3;0.07
RAJ04_G5_L1;2016;raj04;sp2;medium;low;;male;G5;32.3;0.07
RAJ04_G6_L1;2016;raj04;sp2;medium;low;;male;G6;32.3;0.07
RAJ04_G7_L1;2016;raj04;sp2;medium;low;;male;G7;32.3;0.07
RAJ04_G8_L1;2016;raj04;sp2;medium;low;;female;G8;32.3;0.07
RAJ04_G9_L1;2016;raj04;sp2;medium;low;;male;G9;32.3;0.07
WAR01_G1_L1;2016;war01;sp2;high;low;;male;G1;35.4;0.05
WAR01_G2_L1;2016;war01;sp2;high;low;;nd;G2;35.4;0.05
WAR01_G3_L1;2016;war01;sp2;high;low;;male;G3;35.4;0.05
WAR01_G4_L1;2016;war01;sp2;high;low;;male;G4;35.4;0.05
WAR01_G5_L1;2016;war01;sp2;high;low;;female;G5;35.4;0.05
WAR01_G6_L1;2016;war01;sp2;high;low;;female;G6;35.4;0.05
WAR01_G7_L1;2016;war01;sp2;high;low;;female;G7;35.4;0.05
WAR01_G8_L1;2016;war01;sp2;high;low;;male;G8;35.4;0.05
WAR01_G9_L1;2016;war01;sp2;high;low;;male;G9;35.4;0.05
WAR01_G10_L1;2016;war01;sp2;high;low;;male;G10;35.4;0.05
WAR01_G11_L1;2016;war01;nd;high;low;;nd;G11;35.4;0.05
WAR04_G1_L1;2016;war04;sp1;high;low;7.50;nd;G1;35.6;0.06
WAR04_G10_L1;2016;war04;sp2;high;low;7.50;nd;G10;35.6;0.06
WAR04_G2_L1;2016;war04;nd;high;low;7.50;nd;G2;35.6;0.06
WAR04_G3_L1;2016;war04;sp1;high;low;7.50;nd;G3;35.6;0.06
WAR04_G4_L1;2016;war04;nd;high;low;7.50;nd;G4;35.6;0.06
WAR04_G5_L1;2016;war04;sp2;high;low;7.50;nd;G5;35.6;0.06
WAR04_G6_L1;2016;war04;sp1;high;low;7.50;nd;G6;35.6;0.06
WAR04_G7_L1;2016;war04;sp1;high;low;7.50;nd;G7;35.6;0.06
WAR04_G8_L1;2016;war04;sp2;high;low;7.50;nd;G8;35.6;0.06
WAR04_G9_L1;2016;war04;sp2;high;low;7.50;nd;G9;35.6;0.06
WAY04_G1_L1;2016;way04;sp1;low;medium;;nd;G1;31.2;0.45
WAY04_G2_L1;2016;way04;sp1;low;medium;;nd;G2;31.2;0.45
WAY04_G3_L1;2016;way04;sp1;low;medium;;nd;G3;31.2;0.45
WAY04_G4_L1;2016;way04;sp1;low;medium;;nd;G4;31.2;0.45
WAY04_G5_L1;2016;way04;sp1;low;medium;;nd;G5;31.2;0.45
WAY04_G6_L1;2016;way04;sp1;low;medium;;nd;G6;31.2;0.45
WAY04_G7_L1;2016;way04;sp1;low;medium;;nd;G7;31.2;0.45
WAY04_G9_L1;2016;way04;sp1;low;medium;;nd;G9;31.2;0.45
