"","ID","lake","goby","point","pointL","x","y"
"1","KAR02_G56_L1.JPG ","KAR02","G56",1,"A",25.6738339,27.08411266
"2","KAR02_G56_L1.JPG ","KAR02","G56",2,"B",34.95973899,35.0842778
"3","KAR02_G56_L1.JPG ","KAR02","G56",3,"C",35.10260171,24.226917132
"4","KAR02_G56_L1.JPG ","KAR02","G56",4,"D",41.81700237,36.51285594
"5","KAR02_G56_L1.JPG ","KAR02","G56",5,"E",41.81700237,23.798338784
"6","KAR02_G56_L1.JPG ","KAR02","G56",6,"F",42.24559053,31.22705795
"7","KAR02_G56_L1.JPG ","KAR02","G56",7,"G",41.81700237,26.79838722
"8","KAR02_G56_L1.JPG ","KAR02","G56",8,"H",40.95985058,23.226897716
"9","KAR02_G56_L1.JPG ","KAR02","G56",9,"I",56.96015633,29.2270044
"10","KAR02_G56_L1.JPG ","KAR02","G56",10,"J",51.81719653,36.08429231
"11","KAR02_G56_L1.JPG ","KAR02","G56",11,"K",52.96007376,35.94142959
"12","KAR02_G56_L1.JPG ","KAR02","G56",12,"L",54.53153915,24.65549548
"13","KAR02_G56_L1.JPG ","KAR02","G56",13,"M",66.53176233,32.08420974
"14","KAR02_G56_L1.JPG ","KAR02","G56",14,"N",63.53169427,25.08408364
"15","KAR02_G56_L1.JPG ","KAR02","G56",15,"O",72.10328576,30.79846979
"16","KAR02_G56_L1.JPG ","KAR02","G56",16,"P",71.81758485,24.65549548
"17","KAR02_G56_L1.JPG ","KAR02","G56",17,"Q",77.67483372,27.65556354
"18","KAR02_G56_L1.JPG ","KAR02","G56",18,"R",95.53230577,25.36978455
"19","KAR02_G57_L1.JPG ","KAR02","G57",1,"A",18.15611588,14.235288179
"20","KAR02_G57_L1.JPG ","KAR02","G57",2,"B",23.06530478,17.96262993
"21","KAR02_G57_L1.JPG ","KAR02","G57",3,"C",22.97439214,12.59889344
"22","KAR02_G57_L1.JPG ","KAR02","G57",4,"D",27.06538289,18.50809016
"23","KAR02_G57_L1.JPG ","KAR02","G57",5,"E",26.97447025,11.871606369
"24","KAR02_G57_L1.JPG ","KAR02","G57",6,"F",27.06538289,15.598951242
"25","KAR02_G57_L1.JPG ","KAR02","G57",7,"G",27.15627992,13.326180511
"26","KAR02_G57_L1.JPG ","KAR02","G57",8,"H",25.97444682,11.780696851
"27","KAR02_G57_L1.JPG ","KAR02","G57",9,"I",34.61097591,14.780753092
"28","KAR02_G57_L1.JPG ","KAR02","G57",10,"J",32.2472941,18.41719313
"29","KAR02_G57_L1.JPG ","KAR02","G57",11,"K",32.61092905,18.32628049
"30","KAR02_G57_L1.JPG ","KAR02","G57",12,"L",34.15641271,12.144339606
"31","KAR02_G57_L1.JPG ","KAR02","G57",13,"M",39.33833953,17.23534442
"32","KAR02_G57_L1.JPG ","KAR02","G57",14,"N",38.52014138,13.144358353
"33","KAR02_G57_L1.JPG ","KAR02","G57",15,"O",42.70204477,16.78079683
"34","KAR02_G57_L1.JPG ","KAR02","G57",16,"P",42.52021949,13.326180511
"35","KAR02_G57_L1.JPG ","KAR02","G57",17,"Q",45.88390912,15.235306926
"36","KAR02_G57_L1.JPG ","KAR02","G57",18,"R",53.88406534,13.689823266
"37","KAR02_G58_L1.JPG ","KAR02","G58",1,"A",13.399602359,13.773233227
"38","KAR02_G58_L1.JPG ","KAR02","G58",2,"B",17.771196768,16.534245767
"39","KAR02_G58_L1.JPG ","KAR02","G58",3,"C",17.694500512,12.0859524682
"40","KAR02_G58_L1.JPG ","KAR02","G58",4,"D",20.992373675,16.841030791
"41","KAR02_G58_L1.JPG ","KAR02","G58",5,"E",21.145766187,11.7024790896
"42","KAR02_G58_L1.JPG ","KAR02","G58",6,"F",20.762298076,15.000346985
"43","KAR02_G58_L1.JPG ","KAR02","G58",7,"G",20.532209308,12.8528992254
"44","KAR02_G58_L1.JPG ","KAR02","G58",8,"H",19.688563661,11.319005711
"45","KAR02_G58_L1.JPG ","KAR02","G58",9,"I",27.741512513,14.386790106
"46","KAR02_G58_L1.JPG ","KAR02","G58",10,"J",24.903803717,16.610942023
"47","KAR02_G58_L1.JPG ","KAR02","G58",11,"K",25.363981253,16.534245767
"48","KAR02_G58_L1.JPG ","KAR02","G58",12,"L",25.977538132,11.93256259
"49","KAR02_G58_L1.JPG ","KAR02","G58",13,"M",31.039385676,15.613903864
"50","KAR02_G58_L1.JPG ","KAR02","G58",14,"N",30.502525053,12.2393423464
"51","KAR02_G58_L1.JPG ","KAR02","G58",15,"O",33.570309448,15.230435753
"52","KAR02_G58_L1.JPG ","KAR02","G58",16,"P",33.800398216,12.3927309077
"53","KAR02_G58_L1.JPG ","KAR02","G58",17,"Q",36.714790099,13.696536971
