"","ID","lake","goby","point","pointL","x","y"
"1","KAR02_G56_L2.JPG ","KAR02","G56",1,"A",28.839980826,13.7089712496
"2","KAR02_G56_L2.JPG ","KAR02","G56",2,"B",29.138497544,14.9030222986
"3","KAR02_G56_L2.JPG ","KAR02","G56",3,"C",33.019151586,18.98269487
"4","KAR02_G56_L2.JPG ","KAR02","G56",4,"D",37.198338169,18.584667305
"5","KAR02_G56_L2.JPG ","KAR02","G56",5,"E",36.899821451,21.470291992
"6","KAR02_G56_L2.JPG ","KAR02","G56",6,"F",47.248253327,24.057399961
"7","KAR02_G56_L2.JPG ","KAR02","G56",7,"G",47.646265069,19.380706612
"8","KAR02_G56_L2.JPG ","KAR02","G56",8,"H",46.352703173,9.3307898717
"9","KAR02_G56_L2.JPG ","KAR02","G56",9,"I",40.481974598,11.420376834
"10","KAR02_G56_L2.JPG ","KAR02","G56",10,"J",34.312713482,11.8183933229
"11","KAR02_G56_L2.JPG ","KAR02","G56",11,"K",32.820145715,13.1119473074
"12","KAR02_G56_L2.JPG ","KAR02","G56",12,"L",29.237992568,12.5149217829
"13","KAR02_G57_L2.JPG ","KAR02","G57",1,"A",12.467918904,7.941241008
"14","KAR02_G57_L2.JPG ","KAR02","G57",2,"B",12.420298596,8.512646844
"15","KAR02_G57_L2.JPG ","KAR02","G57",3,"C",13.563110268,9.560225472
"16","KAR02_G57_L2.JPG ","KAR02","G57",4,"D",15.610647216,9.512605164
"17","KAR02_G57_L2.JPG ","KAR02","G57",5,"E",15.658267524,11.274435408
"18","KAR02_G57_L2.JPG ","KAR02","G57",6,"F",20.89614552,12.464867388
"19","KAR02_G57_L2.JPG ","KAR02","G57",7,"G",20.22950664,10.41733044
"20","KAR02_G57_L2.JPG ","KAR02","G57",8,"H",20.22950664,5.7032372148
"21","KAR02_G57_L2.JPG ","KAR02","G57",9,"I",17.086778328,6.8460473724
"22","KAR02_G57_L2.JPG ","KAR02","G57",10,"J",14.515455852,7.1317502904
"23","KAR02_G57_L2.JPG ","KAR02","G57",11,"K",14.134516104,7.703154612
"24","KAR02_G57_L2.JPG ","KAR02","G57",12,"L",12.467918904,7.655534304
"25","KAR02_G58_L2.JPG ","KAR02","G58",1,"A",9.779960592,7.405899192
"26","KAR02_G58_L2.JPG ","KAR02","G58",2,"B",9.779960592,7.793928224
"27","KAR02_G58_L2.JPG ","KAR02","G58",3,"C",10.771591864,8.699331584
"28","KAR02_G58_L2.JPG ","KAR02","G58",4,"D",12.668626496,8.397530464
"29","KAR02_G58_L2.JPG ","KAR02","G58",5,"E",12.797971792,9.777190768
"30","KAR02_G58_L2.JPG ","KAR02","G58",6,"F",16.50582,10.294565096
