"","ID","lake","goby","point","pointL","x","y"
"1","KAR02_G56_V1.JPG","KAR02","G56",1,"A",48.895384270229,44.9161733611544
"2","KAR02_G56_V1.JPG","KAR02","G56",2,"B",50.0720810810582,31.9725084420343
"3","KAR02_G56_V1.JPG","KAR02","G56",3,"C",53.2099392432692,41.1899667935288
"4","KAR02_G56_V1.JPG","KAR02","G56",4,"D",53.4060553784075,35.1103666042452
"5","KAR02_G56_V1.JPG","KAR02","G56",5,"E",71.6448559462583,39.2288054421471
"6","KAR02_G57_V1.JPG","KAR02","G57",1,"A",26.3318518518518,21.7028444444443
"7","KAR02_G57_V1.JPG","KAR02","G57",2,"B",27.1318518518518,17.1028444444444
"8","KAR02_G57_V1.JPG","KAR02","G57",3,"C",28.7318518518518,20.2028444444444
"9","KAR02_G57_V1.JPG","KAR02","G57",4,"D",28.9318518518518,18.7028444444444
"10","KAR02_G57_V1.JPG","KAR02","G57",5,"E",34.5318518518519,19.8028444444445
"11","KAR02_G58_V1.JPG","KAR02","G58",1,"A",22.4655142510025,15.106401180192
"12","KAR02_G58_V1.JPG","KAR02","G58",2,"B",22.4655142510025,11.5440486807966
"13","KAR02_G58_V1.JPG","KAR02","G58",3,"C",24.1754434507123,13.8952013303976
"14","KAR02_G58_V1.JPG","KAR02","G58",4,"D",24.3891846006761,12.6127544306153
"15","KAR02_G58_V1.JPG","KAR02","G58",5,"E",30.1601956496968,13.1114837805306
"16","KAR02_G79_V2.JPG","KAR02","G79",1,"A",28.6640075999507,21.7323768290677
"17","KAR02_G79_V2.JPG","KAR02","G79",2,"B",29.3764780998297,15.2488952801679
"18","KAR02_G79_V2.JPG","KAR02","G79",3,"C",31.0864072995396,19.3812241794666
"19","KAR02_G79_V2.JPG","KAR02","G79",4,"D",31.513889599467,17.0300715298656
"20","KAR02_G79_V2.JPG","KAR02","G79",5,"E",41.3459824977986,18.5975066295997
"21","MIS01_G1_V.JPG","MIS01","G1",1,"A",14.9928196490613,12.5681830129057
"22","MIS01_G1_V.JPG","MIS01","G1",2,"B",15.1689857149157,9.33847180557483
"23","MIS01_G1_V.JPG","MIS01","G1",3,"C",15.9910940222363,11.4524645958278
"24","MIS01_G1_V.JPG","MIS01","G1",4,"D",16.0498160441878,10.8065223543616
"25","MIS01_G1_V.JPG","MIS01","G1",5,"E",19.7493034271304,11.1588544860704
"26","MIS01_G2_V2.JPG","MIS01","G2",1,"A",37.9426107241704,24.4807452071735
"27","MIS01_G2_V2.JPG","MIS01","G2",2,"B",39.0371516334014,8.95816503989765
"28","MIS01_G2_V2.JPG","MIS01","G2",3,"C",44.8083673366192,21.3961299175225
"29","MIS01_G2_V2.JPG","MIS01","G2",4,"D",44.9078710556403,15.3264030572416
"30","MIS01_G2_V2.JPG","MIS01","G2",5,"E",66.0026594880922,18.5105220659135
"31","MIS01_G3_V1.JPG","MIS01","G3",1,"A",39.2637037037039,45.205688888889
"32","MIS01_G3_V1.JPG","MIS01","G3",2,"B",37.4637037037037,29.2056888888889
"33","MIS01_G3_V1.JPG","MIS01","G3",3,"C",41.8637037037039,41.4056888888889
"34","MIS01_G3_V1.JPG","MIS01","G3",4,"D",42.0637037037037,36.6056888888888
"35","MIS01_G3_V1.JPG","MIS01","G3",5,"E",62.8637037037036,39.005688888889
"36","MIS01_G4_V1.JPG","MIS01","G4",1,"A",43.2637037037037,41.6056888888889
